keyword,title,price,url,shipping_x,scraped_at,title_full,price_item,condition,shipping_y,marca,linha,modelo,versões,memória_interna,memória_ram,com_ranhura_para_cartão_de_memória,rede_móvel,tipo_de_conector_de_carregamento,com_conector_usb,com_conector_jack_3_5_mm,com_wi_fi,com_gps,com_bluetooth,com_nfc,com_radio,resolução_da_câmera_traseira_principal,resolução_de_vídeo_da_câmera_traseira,resolução_da_câmera_frontal_principal,características_principais_das_câmeras,resolução_das_câmeras_traseiras,abertura_do_diafragma_da_câmera_traseira,abertura_do_diafragma_da_câmera_frontal,quantidade_de_câmeras_traseiras,quantidade_de_câmeras_frontais,zoom_óptico,zoom_digital,resolução_de_vídeo_da_câmera_frontal,com_câmera,classificação_ip,com_teclado_qwerty_físico,é_resistente_à_água,é_resistente_ao_pó,é_dual_sim,quantidade_de_ranhuras_para_cartão_sim,quantidade_de_esims,tamanhos_de_cartão_sim_compatíveis,com_esim,nome_do_sistema_operacional,versão_original_do_sistema_operacional,última_versão_compatível_do_sistema_operacional,modelo_do_processador,modelo_de_gpu,quantidade_de_núcleos_do_processador,número_de_homologação_da_anatel,mês_de_lançamento,ano_de_lançamento,tamanho_da_tela,resolução_da_tela,tecnologia_da_tela,tipo_de_tela,pixels_por_polegada_da_tela,brilho_máximo_da_tela,proporção_da_tela,com_tela_tátil,tipo_de_bateria,com_carregamento_rápido,com_carregamento_sem_fio,com_bateria_removível,com_reconhecimento_facial,peso,altura_x_largura_x_profundidade,com_acelerômetro,com_sensor_de_proximidade,com_giroscópio,com_bússola,com_barômetro
iphone-13,Apple iPhone 13 (128 GB) - Estelar - Distribuidor Autorizado,7599,https://www.mercadolivre.com.br/apple-iphone-13-128-gb-estelar-distribuidor-autorizado/p/MLB1018500855,Frete grátis,2025-05-18 18:19:26.031036,Apple iPhone 13 (128 GB) - Estelar - Distribuidor Autorizado,7599,Novo  |  +50mil vendidos,"ou R$ 3.887 , 78 em 10x R$ 388 , 78 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,Apple iPhone 13 (256 GB) - Estelar - Distribuidor Autorizado,8599,https://www.mercadolivre.com.br/apple-iphone-13-256-gb-estelar-distribuidor-autorizado/p/MLB1018500856,Frete grátis,2025-05-18 18:19:26.032040,Apple iPhone 13 (256 GB) - Estelar - Distribuidor Autorizado,8599,Novo  |  +1000 vendidos,"ou R$ 4.731 , 80 em 10x R$ 473 , 18 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",256 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,Apple iPhone 13 (128 GB) Meia-noite - Aceitável (Recondicionado),2499,https://www.mercadolivre.com.br/apple-iphone-13-128-gb-meia-noite-aceitavel-recondicionado/p/MLB2000086180,Frete grátis,2025-05-18 18:19:26.032040,Apple iPhone 13 (128 GB) Meia-noite - Aceitável (Recondicionado),2499,Recondicionado  |  +5 vendidos,"em 12x R$ 208 , 25 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Dual SIM 256 GB verde - Excelente (Recondicionado),3390,https://www.mercadolivre.com.br/iphone-13-dual-sim-256-gb-verde-excelente-recondicionado/p/MLB2000018677,Frete grátis,2025-05-18 18:19:26.032040,iPhone 13 Dual SIM 256 GB verde - Excelente (Recondicionado),3390,Recondicionado  |  +5 vendidos,"em 12x R$ 282 , 50 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",256 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Rosa (128gb) + Carregador E Fone De Ouvido,2995,https://produto.mercadolivre.com.br/MLB-5352373776-iphone-13-rosa-128gb-carregador-e-fone-de-ouvido-_JM?searchVariation=183366154062,Frete grátis,2025-05-18 18:19:26.032040,iPhone 13 Rosa (128gb) + Carregador E Fone De Ouvido (Recondicionado),2995,Recondicionado  |  +100 vendidos,"em 12x R$ 249 , 58 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,Apple iPhone 12 (128 GB) - Azul,2749,https://www.mercadolivre.com.br/apple-iphone-12-128-gb-azul/p/MLB16163654,Frete grátis,2025-05-18 18:19:26.032040,Apple iPhone 12 (128 GB) - Azul,2749,Novo  |  +1000 vendidos,"em 12x R$ 229 , 08 sem juros",Apple,iPhone 12,iPhone 12,"A2403, A2402, A2172",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,2160 px x 3840 px,12 Mpx,,12 Mpx/12 Mpx,f 2.4/f 1.6,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,1,Nano-SIM,Sim,iOS,14,16,Apple A14 Bionic,,6,129962001993,Outubro,2020,"6,1 """,1170 px x 2532 px,OLED,,460 dpi,,,Sim,Íon de lítio,Sim,Sim,Não,Sim,162 g,14.67 cm x 7.15 cm x 7.4 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Dual SIM 128 GB (product)red (Novo com caixa aberta),2999,https://www.mercadolivre.com.br/iphone-13-dual-sim-128-gb-productred-novo-com-caixa-aberta/p/MLB2016196390,Frete grátis,2025-05-18 18:19:26.032040,iPhone 13 Dual SIM 128 GB (product)red (Novo com caixa aberta),2999,Caixa aberta  |  +5 vendidos,"em 12x R$ 249 , 92 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Pro 128 GB grafite - Excelente (Recondicionado),3399,https://www.mercadolivre.com.br/iphone-13-pro-128-gb-grafite-excelente-recondicionado/p/MLB2000099658,Frete grátis,2025-05-18 18:19:26.033038,iPhone 13 Pro 128 GB grafite - Excelente (Recondicionado),3399,Recondicionado  |  +100 vendidos,"em 12x R$ 283 , 25 sem juros",Apple,iPhone 13,iPhone 13 Pro,"A2640, A2636, A2638, A2483, A2643",128 GB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorâmica, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112732101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,203 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Dual SIM 256 GB rosa - Bom (Recondicionado),3199,https://www.mercadolivre.com.br/iphone-13-dual-sim-256-gb-rosa-bom-recondicionado/p/MLB2000123218,Frete grátis,2025-05-18 18:19:26.033038,iPhone 13 Dual SIM 256 GB rosa - Bom (Recondicionado),3199,Recondicionado  |  +5 vendidos,"em 12x R$ 266 , 58 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",256 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,Apple iPhone 13 Pro Max (128 GB) - Dourado,6299,https://www.mercadolivre.com.br/apple-iphone-13-pro-max-128-gb-dourado/p/MLB18494230,Frete grátis,2025-05-18 18:19:26.033038,Apple iPhone 13 Pro Max (128 GB) - Dourado,6299,Novo  |  +500 vendidos,"em 12x R$ 524 , 92 sem juros",Apple,iPhone 13,iPhone 13 Pro Max,"A2645, A2643, A2484, A2641",128 GB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorama, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112432101993,Setembro,2021,"6,7 """,1284 px x 2778 px,OLED,Super Retina XDR,458 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,238 g,16.08 cm x 7.81 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 mini 512 GB azul - Excelente (Recondicionado),3579,https://www.mercadolivre.com.br/iphone-13-mini-512-gb-azul-excelente-recondicionado/p/MLB2000020023,Frete grátis,2025-05-18 18:19:26.033038,iPhone 13 mini 512 GB azul - Excelente (Recondicionado),3579,Recondicionado  |  3 vendidos,"em 12x R$ 316 , 48",Apple,iPhone 13,iPhone 13 mini,"A2626, A2630, A2176, A2631, A2398, A2399, A2628",512 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Bokeh, Modo noite, Modo rajada, Panorama",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112752101993,Setembro,2021,"5,4 """,1080 px x 2340 px,OLED,Super Retina XDR,476 dpi,1.200 cd/m²,19.5:5,Sim,Íon de lítio,Sim,Sim,Não,Sim,140 g,13.15 cm x 6.42 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 mini 128 GB meia-noite - Bom (Recondicionado),2749,https://www.mercadolivre.com.br/iphone-13-mini-128-gb-meia-noite-bom-recondicionado/p/MLB2000022523,Frete grátis,2025-05-18 18:19:26.033038,iPhone 13 mini 128 GB meia-noite - Bom (Recondicionado),2749,Recondicionado  |  +5 vendidos,"em 12x R$ 264 , 22",Apple,iPhone 13,iPhone 13 mini,"A2626, A2630, A2176, A2631, A2398, A2399, A2628",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Bokeh, Modo noite, Modo rajada, Panorama",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112752101993,Setembro,2021,"5,4 """,1080 px x 2340 px,OLED,Super Retina XDR,476 dpi,1.200 cd/m²,19.5:5,Sim,Íon de lítio,Sim,Sim,Não,Sim,140 g,13.15 cm x 6.42 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Pro Max 128 GB azul-sierra - Excelente (Recondicionado),3988,https://www.mercadolivre.com.br/iphone-13-pro-max-128-gb-azul-sierra-excelente-recondicionado/p/MLB2000085172,Frete grátis,2025-05-18 18:19:26.033958,iPhone 13 Pro Max 128 GB azul-sierra - Excelente (Recondicionado),3988,Recondicionado  |  +100 vendidos,"em 12x R$ 332 , 33 sem juros",Apple,iPhone 13,iPhone 13 Pro Max,"A2645, A2643, A2484, A2641",128 GB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorama, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112432101993,Setembro,2021,"6,7 """,1284 px x 2778 px,OLED,Super Retina XDR,458 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,238 g,16.08 cm x 7.81 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Pro 1 TB verde-alpino - Excelente (Recondicionado),4850,https://www.mercadolivre.com.br/iphone-13-pro-1-tb-verde-alpino-excelente-recondicionado/p/MLB2000044625,Frete grátis,2025-05-18 18:19:26.033958,iPhone 13 Pro 1 TB verde-alpino - Excelente (Recondicionado),4850,Recondicionado  |  2 vendidos,"em 12x R$ 404 , 17 sem juros",Apple,iPhone 13,iPhone 13 Pro,"A2640, A2636, A2638, A2483, A2643",1 TB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorâmica, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112732101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,203 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Pro Max 256 GB grafite - Excelente (Recondicionado),4600,https://www.mercadolivre.com.br/iphone-13-pro-max-256-gb-grafite-excelente-recondicionado/p/MLB2000153400,Frete grátis,2025-05-18 18:19:26.033958,iPhone 13 Pro Max 256 GB grafite - Excelente (Recondicionado),4574,Recondicionado  |  +50 vendidos,"em 12x R$ 381 , 23 sem juros",Apple,iPhone 13,iPhone 13 Pro Max,"A2645, A2643, A2484, A2641",256 GB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorama, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112432101993,Setembro,2021,"6,7 """,1284 px x 2778 px,OLED,Super Retina XDR,458 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,238 g,16.08 cm x 7.81 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,Apple iPhone 13 (512 GB) - Azul,4999,https://www.mercadolivre.com.br/apple-iphone-13-512-gb-azul/p/MLB18500848,Frete grátis,2025-05-18 18:19:26.033958,Apple iPhone 13 (512 GB) - Azul,4999,Novo  |  +50 vendidos,"em 12x R$ 416 , 58 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",512 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Dual SIM 512 GB estelar - Excelente (Recondicionado),3709,https://www.mercadolivre.com.br/iphone-13-dual-sim-512-gb-estelar-excelente-recondicionado/p/MLB2000048825,Frete grátis,2025-05-18 18:19:26.033958,iPhone 13 Dual SIM 512 GB estelar - Excelente (Recondicionado),3709,Recondicionado  |  +5 vendidos,"em 12x R$ 327 , 98",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",512 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Sim,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Pro Max 512 GB verde-alpino - Excelente (Recondicionado),4790,https://www.mercadolivre.com.br/iphone-13-pro-max-512-gb-verde-alpino-excelente-recondicionado/p/MLB2000132764,Frete grátis,2025-05-18 18:19:26.033958,iPhone 13 Pro Max 512 GB verde-alpino - Excelente (Recondicionado),4790,Recondicionado  |  1 vendido,"em 12x R$ 399 , 17 sem juros",Apple,iPhone 13,iPhone 13 Pro Max,"A2645, A2643, A2484, A2641",512 GB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorama, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112432101993,Setembro,2021,"6,7 """,1284 px x 2778 px,OLED,Super Retina XDR,458 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,238 g,16.08 cm x 7.81 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 Pro 512 GB grafite - Bom (Recondicionado),4562,https://www.mercadolivre.com.br/iphone-13-pro-512-gb-grafite-bom-recondicionado/p/MLB2000143016,Frete grátis,2025-05-18 18:19:26.035031,iPhone 13 Pro 512 GB grafite - Bom (Recondicionado),4562,Recondicionado,"em 12x R$ 380 , 17 sem juros",Apple,iPhone 13,iPhone 13 Pro,"A2640, A2636, A2638, A2483, A2643",512 GB,6 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Modo retrato, Modo noite, Panorâmica, Modo rajada, Geoetiquetado",12 Mpx/12 Mpx/12 Mpx,f 2.8/f 1.8/f 1.5,f 2.2,3,1,6x,15x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,2,Nano-SIM,Sim,iOS,15,16,Apple A15 Bionic,Apple GPU,6,112732101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,203 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,Apple Iphone 13 (128 Gb) Branco Envio Imediato Top + Nfe Preto (Novo com caixa aberta),2899,https://www.mercadolivre.com.br/apple-iphone-13-128-gb-branco-envio-imediato-top--nfe/up/MLBU3175288008,Frete grátis,2025-05-18 18:19:26.035031,Apple Iphone 13 (128 Gb) Branco Envio Imediato Top + Nfe Preto (Novo com caixa aberta),2899,Caixa aberta  |  2 vendidos,"em 12x R$ 278 , 64",Apple,iPhone 13,iPhone 13,,128 GB,4 GB,,5G,,,,,,,,,,,,,,,,,,,,,,,,,,Sim,2,0,,,iOS,,,Apple A15 Bionic,,,112722101993,,,,,,,,,,,,,,,,,,,,,,
iphone-13,iPhone 13 256gb,3299,https://produto.mercadolivre.com.br/MLB-4047592273-iphone-13-256gb-_JM?searchVariation=187757284993,Frete grátis,2025-05-18 18:19:26.035031,iPhone 13 256gb (Recondicionado),3299,Recondicionado  |  1 vendido,"em 12x R$ 274 , 92 sem juros",Apple,iPhone 13,iPhone 13,"A2634, A2635, A2628, A2633, A2631, A2626",256 GB,4 GB,Não,,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Modo noite, Deep fusion, HDR, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,1,Nano-SIM,Sim,iOS,15,16,,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
iphone-13,iPhone 13 128 Gb Rosa - Vitrine Garantia + Nf Bateria 100%,3297,https://produto.mercadolivre.com.br/MLB-5378258682-iphone-13-128-gb-rosa-vitrine-garantia-nf-bateria-100-_JM?searchVariation=187834888159,Frete grátis,2025-05-18 18:19:26.035031,iPhone 13 128 Gb Rosa - Vitrine Garantia + Nf Bateria 100% (Recondicionado),3297,Recondicionado  |  +5 vendidos,"em 12x R$ 274 , 75 sem juros",Apple,iPhone 13,iPhone 13,"A2626, A2628, A2631, A2633, A2634, A2635",128 GB,4 GB,Não,5G,Lightning,Não,Não,Sim,Sim,Sim,Sim,Não,12 Mpx,3840 px x 2160 px,12 Mpx,"Bokeh, Deep fusion, HDR, Modo noite, Modo rajada",12 Mpx/12 Mpx,f 1.6/f 2.4,f 2.2,2,1,2x,5x,3840 px x 2160 px,Sim,IP68,Não,Sim,Sim,Não,1,1,Nano-SIM,Sim,ios 18,15,16,Apple A15 Bionic,Apple GPU,6,112722101993,Setembro,2021,"6,1 """,1170 px x 2532 px,OLED,Super Retina XDR,460 dpi,1.200 cd/m²,19.5:9,Sim,Íon de lítio,Sim,Sim,Não,Sim,173 g,14.67 cm x 7.15 cm x 7.65 mm,Sim,Sim,Sim,Sim,Sim
